geneName	GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546
CCL13	178.527189292852	221.321531214813	225.971967050408	319.572620518813	216.766799964807	497.99933307509	487.750654998496	205.073888662943	257.78062081452	200.853529061568
CCL14	865.486604860452	668.838515820263	533.858021415987	751.914393492581	418.307320969818	5185.66649695993	941.2178208474	996.732236909717	557.867916384919	847.533508505873
CCL17	125.365798091127	135.298309191857	172.445897838808	165.421162321599	135.298309191857	123.63985010238	138.141214272567	109.137266146298	142.024892424684	134.363735503753
CCL18	138.141214272567	131.598569811977	141.043854832206	156.497955544585	152.218510720348	225.971967050408	154.343401944417	144.007486040168	140.069593761375	138.141214272567
CCL19	694.581415653208	421.678600840998	1734.13439971846	2836.70419069117	481.035647597574	4011.70553891605	1089.91506683224	230.720118428372	407.314679682518	261.379104181041
CCL20	377.412919626522	282.087709664412	968.76303024701	588.133557758482	328.557029776103	613.109096764891	170.071784204353	171.254727012622	304.437021440697	410.147777325886
CCL22	159.786310259406	202.250575837025	202.250575837025	186.108482217	168.897012578931	152.218510720348	178.527189292852	195.361178746952	205.073888662943	171.254727012622
CCL23	367.092543492052	265.027820503393	212.305803728497	218.274532292597	129.786813413124	1884.54430847975	191.340703825272	132.513910251696	133.435617387664	170.071784204353
CCL4	194.828521024481	260.567640519923	223.215764238417	197.355275228387	285.288751501522	187.575483685181	452.542602739968	172.644435019079	207.565405748138	264.177960505239
CCL5	916.505672630244	4096	776.046882053324	1031.12248325808	1243.33556162053	455.087452757284	1152.05988832134	572.051014692977	1541.37266934893	1176.26711551696
CCL7	176.069352721887	464.649807522386	337.794025157861	335.460711387741	335.460711387741	481.035647597574	326.287520593731	415.873226934392	288.014972080335	276.282428545133
CCL8	552.564857090267	328.557029776103	335.460711387741	247.279700204761	308.686803888835	1438.15155275571	1520.15213632415	576.02994416067	448.82212931381	280.139187522749
CCND2	3281.18221860709	3769.08861695949	2998.44750529664	3304.00464577383	2957.16699243007	4124.48993303232	6936.53759887382	6888.62343375843	3040.30427264829	2702.35220126289
CCR10	157.586484908149	155.416945202566	167.73035569387	142.024892424684	155.416945202566	153.277274191223	159.786310259406	182.278425036425	183.546271746026	152.218510720348
CCR2	169.583169485649	198.543381823132	187.007017561532	190.571620692415	168.244434074501	145.453577217728	201.669511737046	172.781557887111	188.651346877281	166.618923352052
CCR3	134.363735503753	127.115839415941	135.298309191857	126.23778617515	140.069593761375	139.102062403335	144.007486040168	133.435617387664	126.23778617515	123.63985010238
CCR6	166.571757496567	206.500290360864	184.82293702688	178.527189292852	167.73035569387	276.282428545133	186.108482217	155.416945202566	182.278425036425	207.936613467196
CCR7	210.839300420499	242.190757561753	232.324903761193	192.671583668617	248.999666537545	1278.29048207525	296.112175079754	229.126418157561	200.853529061568	148.056087539877
CD160	385.343167337233	424.611607456994	265.027820503393	216.766799964807	215.269482304951	152.218510720348	230.720118428372	166.571757496567	272.47876670806	310.833890405132
CD180	123.63985010238	121.095378780876	117.784019279984	106.152901864249	101.82866992063	110.660765607407	121.095378780876	119.428222916711	122.785807273634	135.298309191857
CD19	242.190757561753	191.340703825272	206.500290360864	171.254727012622	268.727471007505	2288.20405877191	164.278514888052	140.069593761375	134.363735503753	142.024892424684
CD1A	149.085899067962	127.115839415941	178.527189292852	181.019335983756	133.435617387664	156.497955544585	150.122873501681	145.009137317862	176.069352721887	131.598569811977
CD1B	105.419650210249	132.513910251696	127.115839415941	129.786813413124	130.689552090521	110.660765607407	143.012753673244	125.365798091127	128.89031040726	139.102062403335
